dept_no,emp_no,from_date,to_date
d001,110022,1/1/85,1/10/91
d001,110039,1/10/91,1/1/99
d002,110085,1/1/85,17/12/89
d002,110114,17/12/89,1/1/99
d003,110183,1/1/85,21/3/92
d003,110228,21/3/92,1/1/99
d004,110303,1/1/85,9/9/88
d004,110344,9/9/88,2/8/92
d004,110386,2/8/92,30/8/96
d004,110420,30/8/96,1/1/99
d005,110511,1/1/85,25/4/92
d005,110567,25/4/92,1/1/99
d006,110725,1/1/85,6/5/89
d006,110765,6/5/89,12/9/91
d006,110800,12/9/91,28/6/94
d006,110854,28/6/94,1/1/99
d007,111035,1/1/85,7/3/91
d007,111133,7/3/91,1/1/99
d008,111400,1/1/85,8/4/91
d008,111534,8/4/91,1/1/99
d009,111692,1/1/85,17/10/88
d009,111784,17/10/88,8/9/92
d009,111877,8/9/92,3/1/96
d009,111939,3/1/96,1/1/99
